mention_week,median_tone,median_impact,mentions_count
2026-01-12,-6.66666666666667,-10.0,11
2026-01-12,-1.49892933618844,-5.0,6
2026-01-12,-6.66666666666667,-10.0,8
2026-01-05,-5.49738219895287,-4.4,19
2026-01-05,-8.5820895522388,-10.0,6
2026-01-05,-5.20673813169985,-2.0,9
2026-01-05,-7.51445086705202,-4.0,9
2026-01-05,1.07238605898123,-5.0,9
2025-12-29,-6.35964912280701,-2.0,6
2025-12-29,-6.13915416098227,-7.5,9
2025-12-29,-5.94795539033457,-5.0,34
2025-12-29,-5.4421768707483,-5.0,8
2025-12-29,-6.45161290322581,-5.0,6
2025-12-29,-6.53846153846154,-5.0,10
2025-12-29,-5.66037735849056,-7.0,36
2025-12-29,-5.66037735849056,-5.0,33
2025-12-29,-5.22875816993464,-5.0,8
2025-12-29,-2.83687943262412,-5.0,6
2025-12-29,2.38948626045401,-10.0,15
2025-12-29,-6.26506024096386,-5.0,8
2025-12-29,-3.93258426966292,-5.0,11
2025-12-29,-4.31654676258993,-5.0,6
2025-12-15,0.0,-5.0,9
2025-12-15,-1.46443514644352,-4.0,22
2025-12-15,-7.0874861572536,-5.0,6
2025-12-15,-1.38888888888889,-10.0,8
2025-12-15,-7.0874861572536,-5.0,6
2025-12-15,-7.0874861572536,-5.0,6
2025-12-15,-7.92349726775956,-4.0,6
2025-12-15,-8.26666666666666,-4.0,6
2025-12-15,-7.92349726775956,-4.0,8
2025-12-15,-4.71976401179941,-5.0,6
2025-12-15,-7.92349726775956,-4.0,11
2025-12-15,-7.92349726775956,-4.0,6
2025-12-15,-8.26666666666666,-4.0,8
2025-12-15,-0.9127210496292,-4.4,11
2025-12-08,-3.84615384615385,-5.0,15
2025-12-08,-2.2,-5.0,13
2025-12-08,-7.97546012269939,-4.0,13
2025-12-08,0.277777777777771,-4.0,6
2025-12-08,-1.25,-5.0,12
2025-12-08,0.13605442176871,-9.0,7
2025-12-08,-3.84615384615385,-5.0,10
2025-12-01,-4.83870967741936,-2.0,8
2025-12-01,-7.43494423791822,-7.0,8
2025-12-01,-7.77777777777781,-7.2,11
2025-12-01,-0.99573257467995,-2.0,6
2025-11-24,-9.03614457831323,-5.0,10
2025-11-24,-4.38184663536777,-2.0,7
2025-11-24,-6.98412698412699,-4.4,14
2025-11-17,-8.24949698189135,-2.0,6
2025-11-10,-10.6333973128599,-5.0,9
2025-11-10,0.43415340086831,-4.0,8
2025-11-03,-4.27115987460815,-9.0,10
2025-10-27,-3.67278797996662,-7.2,10
2025-10-27,-6.75324675324675,-10.0,7
2025-10-27,-8.71080139372822,-10.0,38
2025-10-27,-8.71080139372822,-10.0,19
2025-10-20,-4.1044776119403,-9.0,8
2025-10-20,-8.09968847352025,-9.0,6
2025-10-20,-5.63636363636364,-4.4,6
2025-10-20,-3.12981015905593,-7.2,7
2025-10-20,-6.01851851851852,-5.0,11
2025-10-20,-3.12981015905593,-2.0,7
2025-10-20,-5.63636363636364,-4.4,11
2025-10-20,-4.44634459170585,-10.0,6
2025-10-20,-2.10469508904479,-5.0,11
2025-10-20,-3.27868852459017,-5.0,8
2025-10-20,-6.81114551083591,-9.5,13
2025-10-20,-6.81114551083591,-9.5,29
2025-10-13,-7.59493670886076,-2.0,7
2025-10-13,-8.81742738589213,-5.0,11
2025-10-13,-4.98753117206983,-2.0,7
2025-10-06,-0.88105726872247,-4.0,8
2025-10-06,-4.92424242424242,-2.0,12
2025-10-06,-4.04040404040404,-4.0,52
2025-10-06,-5.75539568345324,-2.0,19
2025-10-06,-3.80622837370242,-2.0,7
2025-10-06,-4.8951048951049,-5.0,10
2025-10-06,-3.26721120186698,-5.0,6
2025-10-06,-6.22866894197953,-6.5,9
2025-10-06,-6.425702811245,-5.0,11
2025-10-06,-4.88505747126436,-2.0,10
2025-10-06,0.0,-6.5,12
2025-10-06,-6.31341600901917,-4.0,9
2025-09-29,0.0,-4.0,7
2025-09-29,-11.6710875331565,-10.0,6
2025-09-29,-3.25814536340852,-2.0,6
2025-09-29,-0.833333333333339,-4.0,7
2025-09-29,-3.16301703163017,-7.2,7
2025-09-29,-11.6710875331565,-10.0,7
2025-09-29,-3.08056872037914,-2.0,6
2025-09-22,-8.60215053763441,-9.0,8
2025-09-22,-5.54744525547445,-6.5,12
2025-09-22,-5.22193211488251,-2.0,8
2025-09-22,-5.20059435364041,-5.0,11
2025-09-22,-3.97350993377483,-10.0,12
2025-09-22,-5.22193211488251,-2.0,8
2025-09-22,-5.22193211488251,-2.0,8
2025-09-22,-3.08943089430895,-8.0,25
2025-09-15,-1.50659133709982,-5.0,19
2025-09-15,-6.07665939545029,-10.0,9
2025-09-15,-6.07665939545029,-10.0,34
2025-09-15,-6.0625,-10.0,45
2025-09-15,-3.08641975308642,-4.0,6
2025-09-15,-6.0625,-10.0,14
2025-09-15,-6.0625,-10.0,9
2025-09-15,-6.07665939545029,-10.0,6
2025-09-15,-0.10155721056195,-5.0,6
2025-09-15,-5.19480519480519,-10.0,6
2025-09-08,-3.72168284789644,-10.0,6
2025-09-08,-1.79948586118252,-10.0,6
2025-09-08,-9.05923344947735,-10.0,13
