mention_week,median_tone,median_impact,mentions_count
2026-01-12,0.50251256281407,-5.0,7
2026-01-12,-2.72798129384256,-5.0,30
2026-01-12,-3.49344978165938,-5.0,488
2026-01-12,-5.02754820936639,-5.0,11
2026-01-12,3.52380952380953,-2.0,26
2026-01-12,-2.46305418719212,-4.0,11
2026-01-12,-0.59880239520958,-5.0,10
2026-01-12,-2.32558139534884,-5.0,26
2026-01-12,-6.66666666666667,-4.0,18
2026-01-12,0.45045045045045,-2.0,6
2026-01-12,-14.0077821011673,-5.0,6
2026-01-12,-3.51648351648351,-4.4,24
2026-01-12,0.13345195729537,-5.0,20
2026-01-12,0.18429782528566,-4.0,37
2026-01-12,0.0,-5.0,8
2026-01-12,-4.49438202247191,-5.0,13
2026-01-12,-3.76470588235294,-5.0,8
2026-01-12,0.62893081761006,-4.0,21
2026-01-12,-2.99401197604791,-4.4,30
2026-01-12,-0.49019607843137,-5.0,11
2026-01-12,-7.58293838862559,-5.0,8
2026-01-12,-6.50684931506849,-5.0,14
2026-01-12,-2.97520661157025,-2.0,7
2026-01-12,-3.76237623762377,-2.0,25
2026-01-12,0.235571260306241,-2.0,36
2026-01-12,2.80612244897959,-5.0,8
2026-01-12,-3.76470588235294,-5.0,13
2026-01-12,1.41342756183745,-10.0,6
2026-01-12,1.04602510460251,-2.0,25
2026-01-12,-4.94791666666666,-2.0,9
2026-01-12,3.58565737051793,-9.5,27
2026-01-12,-1.4446227929374,-9.5,13
2026-01-12,-2.91970802919708,-5.0,12
2026-01-12,-2.62529832935561,-5.0,10
2026-01-12,-7.43801652892562,-2.0,6
2026-01-12,-1.30237825594564,-2.0,6
2026-01-12,2.734375,-5.0,6
2026-01-12,-1.6304347826087,-4.0,22
2026-01-12,-4.02414486921529,-2.0,7
2026-01-12,-1.03092783505154,-2.0,8
2026-01-12,-3.75722543352601,-5.0,62
2026-01-12,-6.67433831990794,-10.0,11
2026-01-12,-4.72914875322443,-4.0,20
2026-01-12,-3.74848851269649,-5.0,8
2026-01-12,-5.15463917525773,-5.0,34
2026-01-12,-3.43642611683848,-10.0,11
2026-01-12,-2.05278592375367,-4.4,29
2026-01-12,-2.46305418719212,-7.0,24
2026-01-12,-3.53260869565217,-5.0,6
2026-01-12,-4.29553264604811,-5.0,12
2026-01-12,-2.7972027972028,-6.5,28
2026-01-12,1.4760147601476,-5.0,6
2026-01-12,-1.85185185185185,-5.0,14
2026-01-12,-1.5177065767285,-5.0,6
2026-01-12,-4.28571428571428,-2.0,6
2026-01-12,-1.52671755725191,-5.0,30
2026-01-12,-1.58013544018059,-5.0,107
2026-01-12,-3.76470588235294,-5.0,9
2026-01-12,1.23609394313968,-7.5,10
2026-01-12,-7.27272727272728,-5.0,16
2026-01-12,-5.59999999999997,-2.0,6
2026-01-12,0.0,-2.0,9
2026-01-12,-5.54511278195489,-6.5,12
2026-01-12,-11.8457300275482,-2.0,9
2026-01-12,-5.12048192771084,-10.0,12
2026-01-12,-3.70370370370371,-4.0,6
2026-01-12,-2.7456647398844,-9.5,7
2026-01-12,-0.94488188976378,-5.0,8
2026-01-12,-3.41555977229601,-2.0,9
2026-01-12,-5.1643192488263,-9.5,11
2026-01-12,-0.31152647975077,-4.4,7
2026-01-12,-0.56338028169014,-5.0,14
2026-01-12,-2.33463035019456,-5.0,117
2026-01-12,-5.15463917525773,-5.0,23
2026-01-12,-4.67479674796749,-9.5,7
2026-01-12,-3.8265306122449,-5.0,9
2026-01-12,-5.98591549295775,-4.0,15
2026-01-12,-0.903342366757,-5.0,7
2026-01-12,-3.86375190645653,-4.0,180
2026-01-12,-6.02409638554217,-4.0,10
2026-01-12,-4.14937759336099,-9.5,11
2026-01-12,-4.14937759336099,-9.5,6
2026-01-12,-4.69483568075117,-9.0,11
2026-01-12,0.78740157480315,-5.0,6
2026-01-12,-0.833333333333339,-4.4,36
2026-01-12,-6.67433831990794,-5.0,13
2026-01-12,-5.29739776951673,-5.0,8
2026-01-12,1.19047619047619,-9.5,11
2026-01-12,-3.45800988002823,-7.0,12
2026-01-12,-4.83271375464679,-6.5,10
2026-01-12,-4.51127819548872,-2.0,15
2026-01-12,-3.76470588235294,-5.0,8
2026-01-12,-6.01819454163751,-5.0,30
2026-01-12,2.18340611353712,-9.5,21
2026-01-12,0.0,-4.0,6
2026-01-12,-4.77326968973747,-10.0,9
2026-01-12,1.10062893081761,-5.0,7
2026-01-12,-7.48663101604278,-5.0,20
2026-01-12,-2.87443267776096,-2.0,57
2026-01-12,0.0,-9.0,6
2026-01-12,-5.01930501930502,-5.8,35
2026-01-12,-4.82921083627798,-5.0,16
2026-01-12,0.37105751391466,-5.0,45
2026-01-12,-4.56026058631922,-4.0,27
2026-01-12,-2.4199843871975,-7.0,16
2026-01-12,-0.505050505050511,-5.0,8
