mention_week,median_tone,median_impact,mentions_count
2026-01-12,-4.74683544303798,-9.5,12
2026-01-12,-5.12660206314474,-5.0,13
2026-01-12,-0.22321428571428,-9.2,9
2026-01-12,-10.5769230769231,-10.0,8
2026-01-12,-9.94983277591975,-5.0,16
2026-01-12,-6.93069306930693,-10.0,8
2026-01-12,-8.15972222222223,-10.0,16
2026-01-12,-9.24764890282131,-5.0,6
2026-01-12,-4.13223140495868,-5.0,10
2026-01-12,-2.77992277992278,-5.0,10
2026-01-12,-6.43889618922471,-2.0,8
2026-01-12,-4.28134556574923,-7.0,11
2026-01-12,-6.94864048338369,-10.0,9
2026-01-12,-5.12660206314474,-5.0,19
2026-01-05,-2.02879581151832,-2.0,9
2026-01-05,-5.22388059701492,-5.0,63
2026-01-05,-4.30809399477807,-7.2,8
2026-01-05,-2.3778071334214,-2.0,8
2026-01-05,-4.00534045393859,-6.5,24
2026-01-05,-7.15214564369311,-9.0,7
2026-01-05,-7.82122905027933,-10.0,10
2026-01-05,-4.33604336043361,-5.0,8
2026-01-05,-2.02879581151832,-5.0,6
2026-01-05,-5.22388059701492,-9.2,41
2026-01-05,-6.25,-10.0,8
2026-01-05,-4.06162464985994,-9.2,14
2026-01-05,-12.5840537944284,-5.0,10
2025-12-29,-5.51181102362205,-5.0,13
2025-12-29,1.22699386503068,-4.4,10
2025-12-29,-0.92592592592592,-5.0,6
2025-12-29,-7.57575757575758,-9.5,34
2025-12-29,-10.377358490566,-10.0,10
2025-12-29,-5.14851485148514,-6.5,6
2025-12-29,-4.60405156537753,-6.5,7
2025-12-29,-6.83229813664596,-10.0,13
2025-12-29,-4.70446320868516,-5.0,13
2025-12-29,-4.60797799174691,-4.0,13
2025-12-22,-4.05727923627685,-2.0,14
2025-12-22,-4.9970255800119,-10.0,6
2025-12-22,-8.02919708029197,-9.0,14
2025-12-22,-5.39325842696629,-10.0,15
2025-12-22,-10.6109324758842,-4.4,8
2025-12-22,-4.58089668615985,-4.4,19
2025-12-22,-3.42771982116245,-5.0,6
2025-12-22,-5.1510989010989,-6.5,8
2025-12-22,-3.23232323232323,-2.0,7
2025-12-22,-3.05206463195691,-8.0,57
2025-12-22,-5.43337645536869,-5.0,11
2025-12-22,-5.02873563218391,-2.0,6
2025-12-22,-3.315649867374,-2.0,231
2025-12-22,-5.36231884057971,-9.2,196
2025-12-22,-3.05206463195691,-5.0,28
2025-12-22,-3.21543408360129,-6.5,8
2025-12-22,-5.35433070866142,-2.0,9
2025-12-22,-5.12995896032832,-5.0,16
2025-12-22,-5.80736543909348,-5.0,25
2025-12-22,-5.43337645536869,-4.0,18
2025-12-22,-3.397341211226,-9.2,13
2025-12-22,-4.07582938388625,-7.0,7
2025-12-22,-3.21543408360129,-9.2,14
2025-12-22,-5.08259212198221,-9.2,57
2025-12-22,-4.20736288504884,-2.0,653
2025-12-22,-5.02873563218391,-9.2,6
2025-12-22,-3.62473347547974,-5.0,6
2025-12-22,-3.5,-4.0,10
2025-12-22,-4.60947503201024,-9.2,10
2025-12-22,-4.23357664233577,-6.5,26
2025-12-22,-4.72541507024266,-2.0,9
2025-12-22,-1.93423597678917,-10.0,9
