mention_week,median_tone,median_impact,mentions_count
2026-01-12,-7.22222222222222,-10.0,7
2026-01-12,-6.71641791044776,-10.0,10
2026-01-12,-6.95652173913043,-10.0,12
2026-01-12,-5.68011958146487,-10.0,12
2026-01-12,-4.14012738853503,-10.0,13
2026-01-12,-4.17495029821073,-10.0,6
2026-01-12,-6.10021786492375,-10.0,7
2026-01-12,-6.18120237087214,-10.0,11
2026-01-12,0.31578947368421,-7.2,6
2026-01-12,-8.47619047619048,-7.5,20
2026-01-12,-5.67226890756303,-10.0,27
2026-01-12,-5.26819923371647,-4.0,7
2026-01-12,-6.18120237087214,-10.0,14
2026-01-12,-7.98611111111112,-10.0,6
2026-01-12,-10.1754385964912,-10.0,9
2026-01-12,-5.82386363636364,-9.0,42
2026-01-12,-6.18120237087214,-10.0,8
2026-01-12,-9.40170940170944,-9.5,52
2026-01-12,-3.6697247706422,-4.0,13
2026-01-12,-8.75576036866359,-10.0,18
2026-01-12,-5.82386363636364,-10.0,10
2026-01-12,-11.4958448753462,-9.2,86
2026-01-12,-5.12820512820512,-10.0,17
2026-01-12,-7.90190735694823,-10.0,25
2026-01-12,-5.79710144927536,-5.0,28
2026-01-12,-10.8254397834912,-9.2,115
2026-01-12,-5.74555403556772,-7.2,10
2026-01-12,-8.26271186440678,-9.0,8
2026-01-12,-2.31660231660231,-4.0,8
2026-01-12,-8.75576036866359,-9.5,125
2026-01-12,-8.09128630705394,-10.0,7
2026-01-12,-6.5134099616858,-10.0,12
2026-01-12,-7.90067720090293,-10.0,6
2026-01-12,-5.65770862800565,-10.0,36
2026-01-12,-8.44444444444442,-9.5,69
2026-01-12,0.68965517241379,-2.0,12
2026-01-12,-3.43074968233799,-10.0,6
2026-01-12,-12.3611111111112,-10.0,7
2026-01-12,-0.88626292466765,-5.0,6
2026-01-12,-5.52486187845304,-9.0,15
2026-01-12,0.0,-7.2,6
2026-01-12,-9.1591591591592,-9.2,58
2026-01-12,-5.97014925373134,-10.0,25
2026-01-12,-8.14479638009049,-10.0,9
2026-01-12,-8.8,-10.0,46
2026-01-12,-2.1455223880597,-4.0,9
2026-01-12,-7.07070707070707,-9.0,52
2026-01-12,-3.50404312668464,-10.0,22
2026-01-12,-8.41219768664561,-9.2,6
2026-01-12,-4.42359249329759,-10.0,72
2026-01-12,-6.6213921901528,-10.0,7
2026-01-05,-5.0314465408805,-2.0,24
2026-01-05,-7.04697986577181,-9.5,7
2026-01-05,-5.0314465408805,-9.0,44
2026-01-05,-8.97887323943659,-10.0,127
2026-01-05,-3.91705069124423,-10.0,10
2026-01-05,-2.02702702702702,-7.2,17
2026-01-05,-3.34346504559271,-4.0,6
2026-01-05,-5.10204081632653,-10.0,14
2026-01-05,-3.83211678832116,-7.0,7
2026-01-05,-0.862068965517245,-2.0,9
2026-01-05,-8.0,-10.0,8
2026-01-05,-10.3139013452915,-9.2,16
2026-01-05,-7.31707317073175,-5.0,13
2026-01-05,-3.97489539748954,-10.0,6
2026-01-05,-1.49355057705364,-4.4,6
2026-01-05,-10.9375,-10.0,7
2026-01-05,-3.62903225806451,-2.0,16
2026-01-05,-3.87700534759359,-10.0,16
2026-01-05,-9.72515856236785,-9.5,127
2026-01-05,-5.78947368421053,-9.0,6
2026-01-05,-6.19362597714974,-9.5,13
2026-01-05,-4.07582938388625,-10.0,41
2026-01-05,-5.40540540540541,-10.0,21
2026-01-05,-8.51063829787234,-5.0,28
2026-01-05,-3.71900826446281,-10.0,7
2026-01-05,-11.6182572614108,-10.0,68
2026-01-05,-7.74574505036471,-10.0,58
2026-01-05,-3.32278481012658,-10.0,16
2026-01-05,-8.45070422535211,-10.0,12
2026-01-05,-6.75675675675676,-10.0,8
2026-01-05,-3.94973070017954,-7.2,27
2026-01-05,-8.93470790378011,-10.0,35
2026-01-05,-8.48153214774281,-10.0,72
2026-01-05,-3.66666666666667,-2.0,6
2026-01-05,-7.52972258916777,-10.0,7
2026-01-05,-9.97229916897508,-10.0,7
2026-01-05,-5.83717357910907,-9.5,7
2026-01-05,-8.16326530612245,-10.0,12
2026-01-05,-7.74574505036471,-9.2,42
2026-01-05,-8.46681922196794,-10.0,11
