Date,Fatalities
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,1
2015-06-01,3
2015-07-01,0
2015-08-01,1
2015-09-01,4
2015-10-01,5
2015-11-01,2
2015-12-01,0
2016-01-01,37
2016-02-01,4
2016-03-01,1
2016-04-01,0
2016-05-01,3
2016-06-01,4
2016-07-01,0
2016-08-01,1
2016-09-01,2
2016-10-01,13
2016-11-01,2
2016-12-01,14
2017-01-01,6
2017-02-01,2
2017-03-01,3
2017-04-01,1
2017-05-01,17
2017-06-01,7
2017-07-01,12
2017-08-01,26
2017-09-01,14
2017-10-01,10
2017-11-01,14
2017-12-01,5
2018-01-01,3
2018-02-01,5
2018-03-01,22
2018-04-01,6
2018-05-01,7
2018-06-01,2
2018-07-01,6
2018-08-01,21
2018-09-01,62
2018-10-01,69
2018-11-01,66
2018-12-01,34
2019-01-01,255
2019-02-01,203
2019-03-01,144
2019-04-01,220
2019-05-01,100
2019-06-01,140
2019-07-01,135
2019-08-01,134
2019-09-01,124
2019-10-01,215
2019-11-01,247
2019-12-01,298
2020-01-01,223
2020-02-01,257
2020-03-01,413
2020-04-01,318
2020-05-01,293
2020-06-01,187
2020-07-01,116
2020-08-01,97
2020-09-01,151
2020-10-01,142
2020-11-01,75
2020-12-01,27
2021-01-01,114
2021-02-01,80
2021-03-01,62
2021-04-01,104
2021-05-01,212
2021-06-01,380
2021-07-01,202
2021-08-01,340
2021-09-01,55
2021-10-01,223
2021-11-01,274
2021-12-01,314
2022-01-01,412
2022-02-01,319
2022-03-01,347
2022-04-01,373
2022-05-01,439
2022-06-01,363
2022-07-01,433
2022-08-01,289
2022-09-01,323
2022-10-01,219
2022-11-01,366
2022-12-01,344
2023-01-01,404
2023-02-01,801
2023-03-01,937
2023-04-01,1116
2023-05-01,805
2023-06-01,755
2023-07-01,566
2023-08-01,552
2023-09-01,442
2023-10-01,471
2023-11-01,800
2023-12-01,849
2024-01-01,447
2024-02-01,897
2024-03-01,543
2024-04-01,666
2024-05-01,1100
2024-06-01,940
2024-07-01,459
2024-08-01,969
2024-09-01,169
2024-10-01,338
2024-11-01,599
2024-12-01,359
2025-01-01,549
2025-02-01,527
2025-03-01,743
2025-04-01,543
2025-05-01,808
2025-06-01,382
2025-07-01,335
2025-08-01,299
2025-09-01,186
2025-10-01,286
2025-11-01,277
2025-12-01,328
2026-01-01,83
