country_name,countAsActor1,countAsActor2,totalCount
Burkina Faso,8241.0,6630.0,14871.0
Mali,788.0,761.0,1549.0
France,622.0,425.0,1047.0
Niger,374.0,463.0,837.0
Africa,313.0,271.0,584.0
Canada,176.0,325.0,501.0
United States,244.0,203.0,447.0
Ivory Coast,155.0,161.0,316.0
Australia,79.0,148.0,227.0
West Africa,144.0,70.0,214.0
Ghana,103.0,67.0,170.0
Nigeria,85.0,71.0,156.0
Turkey,26.0,118.0,144.0
Taiwan,20.0,81.0,101.0
Chad,52.0,46.0,98.0
Guinea,35.0,61.0,96.0
Egypt,4.0,77.0,81.0
Libya,32.0,45.0,77.0
Spain,30.0,40.0,70.0
Senegal,49.0,17.0,66.0
