Date,Fatalities
2015-01-01,30
2015-02-01,340
2015-03-01,233
2015-04-01,219
2015-05-01,117
2015-06-01,147
2015-07-01,18
2015-08-01,8
2015-09-01,58
2015-10-01,31
2015-11-01,62
2015-12-01,24
2016-01-01,26
2016-02-01,33
2016-03-01,63
2016-04-01,2
2016-05-01,57
2016-06-01,29
2016-07-01,19
2016-08-01,12
2016-09-01,15
2016-10-01,101
2016-11-01,193
2016-12-01,63
2017-01-01,71
2017-02-01,19
2017-03-01,45
2017-04-01,25
2017-05-01,28
2017-06-01,17
2017-07-01,16
2017-08-01,1064
2017-09-01,46
2017-10-01,8
2017-11-01,56
2017-12-01,12
2018-01-01,27
2018-02-01,3
2018-03-01,7
2018-04-01,24
2018-05-01,48
2018-06-01,10
2018-07-01,24
2018-08-01,8
2018-09-01,29
2018-10-01,11
2018-11-01,21
2018-12-01,41
2019-01-01,57
2019-02-01,56
2019-03-01,141
2019-04-01,104
2019-05-01,229
2019-06-01,241
2019-07-01,207
2019-08-01,270
2019-09-01,51
2019-10-01,97
2019-11-01,67
2019-12-01,126
2020-01-01,91
2020-02-01,77
2020-03-01,148
2020-04-01,67
2020-05-01,35
2020-06-01,32
2020-07-01,30
2020-08-01,56
2020-09-01,30
2020-10-01,109
2020-11-01,11
2020-12-01,6
2021-01-01,22
2021-02-01,65
2021-03-01,659
2021-04-01,440
2021-05-01,841
2021-06-01,701
2021-07-01,874
2021-08-01,805
2021-09-01,1244
2021-10-01,1749
2021-11-01,1949
2021-12-01,2185
2022-01-01,1992
2022-02-01,1744
2022-03-01,2051
2022-04-01,2132
2022-05-01,2375
2022-06-01,2112
2022-07-01,2120
2022-08-01,2197
2022-09-01,1675
2022-10-01,1753
2022-11-01,1930
2022-12-01,1393
2023-01-01,1717
2023-02-01,1648
2023-03-01,2032
2023-04-01,1888
2023-05-01,1708
2023-06-01,1695
2023-07-01,1812
2023-08-01,1623
2023-09-01,1420
2023-10-01,1677
2023-11-01,2502
2023-12-01,1584
2024-01-01,1851
2024-02-01,1545
2024-03-01,2011
2024-04-01,1716
2024-05-01,1697
2024-06-01,1711
2024-07-01,2291
2024-08-01,2119
2024-09-01,1570
2024-10-01,1005
2024-11-01,1378
2024-12-01,1141
2025-01-01,1585
2025-02-01,1293
2025-03-01,1284
2025-04-01,925
2025-05-01,1108
2025-06-01,1310
2025-07-01,1289
2025-08-01,1713
2025-09-01,1262
2025-10-01,1176
2025-11-01,1112
2025-12-01,1428
2026-01-01,554
