country_name,countAsActor1,countAsActor2,totalCount
Myanmar,36295.0,28760.0,65055.0
United States,4184.0,2635.0,6819.0
United Kingdom,281.0,452.0,733.0
Bangladesh,388.0,324.0,712.0
Thailand,453.0,235.0,688.0
India,450.0,211.0,661.0
China,284.0,269.0,553.0
Australia,135.0,78.0,213.0
Japan,112.0,88.0,200.0
Southeast Asia,62.0,68.0,130.0
Europe,121.0,5.0,126.0
Indonesia,41.0,64.0,105.0
Malaysia,47.0,45.0,92.0
North Korea,20.0,45.0,65.0
Iraq,59.0,5.0,64.0
France,43.0,20.0,63.0
Pakistan,21.0,33.0,54.0
Canada,30.0,22.0,52.0
New Zealand,22.0,22.0,44.0
Colombia,6.0,30.0,36.0
