mention_week;info;url;marked
16/02/2015;;;
23/02/2015;;;
02/03/2015;;;
09/03/2015;;;
16/03/2015;;;
23/03/2015;Gulf Arabs say they are defending Yemen against aggression;https://www.reuters.com/article/markets/gulf-arabs-say-they-are-defending-yemen-against-aggression-idUSL6N0WS02E/;
30/03/2015;Kenya attack: 147 dead in Garissa University assault;https://www.bbc.com/news/world-africa-32169080;
06/04/2015;Islamist groups including al Qaeda's Nusra Front seize the city of Idlib for the first time in Syria's civil war.;https://www.reuters.com/news/picture/idUSRTR4VH1C/;
13/04/2015;;;
20/04/2015;;;
27/04/2015;;;
04/05/2015;;;
11/05/2015;;;
18/05/2015;Syria crisis: 'Children died' in US air strike;https://www.bbc.com/news/world-middle-east-32840132;
25/05/2015;;;
01/06/2015;;;
08/06/2015;;;
15/06/2015;;;
22/06/2015;At Least 37 Dead After Attack On Hotel At Tunisian Beach Resort;https://www.npr.org/sections/thetwo-way/2015/06/26/417704593/19-dead-after-gunman-attacks-hotel-at-tunisian-beach-resort;
29/06/2015;Egypt prosecutor Hisham Barakat killed in Cairo attack;https://www.bbc.com/news/world-middle-east-33308518;
06/07/2015;Gaza war, a year on;https://widerimage.reuters.com/story/gaza-war-a-year-on;
13/07/2015;;;
20/07/2015;Suruc massacre: Turkey government comes under fire;https://www.bbc.com/news/world-europe-33607629;
27/07/2015;Investigation Underway Into Killing Of Cecil, Zimbabwe's Best Known Lion;https://www.npr.org/sections/parallels/2015/07/28/427167731/investigation-underway-into-killing-of-cecil-zimbabwes-best-known-lion;
03/08/2015;;;
10/08/2015;;;
17/08/2015;;;
24/08/2015;;;
31/08/2015;;;
07/09/2015;;;
14/09/2015;Hungary: Refugees stuck in ‘no-man’s land’ on border amid appalling humanitarian failure;https://www.amnesty.org/en/latest/news/2015/09/serbia-hungary-refugees-stuck-in-no-mans-land-on-border/;
21/09/2015;;;
28/09/2015;Syria conflict: The close ties behind Russia's intervention;https://www.bbc.com/news/world-middle-east-34422209;
05/10/2015;Tensions high in Israel after new attacks;https://www.dw.com/en/unrest-worsens-in-israel-as-death-toll-rises-and-further-attacks-hit-jerusalem/a-18774898;true
12/10/2015;U.N. Security Council to meet on Israeli-Palestinian violence;https://www.reuters.com/article/world/un-security-council-to-meet-on-israeli-palestinian-violence-idUSKCN0SA04F/;
19/10/2015;;;
26/10/2015;;;
02/11/2015;Russia to provide Iran with S-300 air defence missiles;https://www.bbc.com/news/world-europe-34767012;
09/11/2015;Coordinated terrorist attacks by ISIL across Paris (including the Bataclan theatre) killed 130 people, leading to a permanent shift in European security policies and border controls;https://news.un.org/en/story/2015/11/515532;true
16/11/2015;The victims of Paris;https://www.reuters.com/news/picture/the-victims-of-paris-idJPRTS77KP/;
23/11/2015;Vladimir Putin Calls Turkish Attack on Russian Fighter Plane a 'Stab in the Back';https://abcnews.go.com/International/vladimir-putin-calls-turkish-attack-russian-fighter-plane/story?id=35385995;
30/11/2015;Trump Calls For 'Total And Complete Shutdown Of Muslims Entering' U.S.;https://www.npr.org/2015/12/07/458836388/trump-calls-for-total-and-complete-shutdown-of-muslims-entering-u-s;true
07/12/2015;;;
14/12/2015;;;
21/12/2015;Afghanistan: Sangin almost entirely in Taliban hands;https://www.bbc.com/news/world-asia-35167983;
28/12/2015;;;
04/01/2016;Mexican Drug Lord 'El Chapo' Captured After Months on the Run;https://abcnews.go.com/International/el-chapo-captured-mexican-president/story?id=36170084;
11/01/2016;Jakarta attacks: Bombs and gunfire rock Indonesian capital;https://www.bbc.com/news/world-asia-35309195;
18/01/2016;Pakistan: Armed attack on Bacha Khan University a potential war crime;https://www.amnesty.org/en/latest/news/2016/01/pakistan-armed-attack-on-bacha-khan-university-a-potential-war-crime/;
25/01/2016;;;
01/02/2016;;;
08/02/2016;;;
15/02/2016;;;
22/02/2016;;;
29/02/2016;;;
07/03/2016;Tunisia says Islamic State attacked border to control town;https://www.reuters.com/article/world/tunisia-says-islamic-state-attacked-border-to-control-town-idUSKCN0WA1VT/;
14/03/2016;Man With Kalashnikov Rifle Killed in Brussels Raid Connected to Paris Attacks;https://abcnews.go.com/International/shots-fired-belgium-ongoing-search-paris-attackers/story?id=37659143;
21/03/2016;Brussels explosions: Why has Belgium's capital been attacked?;https://www.bbc.com/news/world-europe-35870957;
28/03/2016;Donald Trump on abortion - from pro-choice to pro-prison;https://www.bbc.com/news/av/world-us-canada-35912638;
04/04/2016;IS regains territory in Syria;https://www.dw.com/en/islamic-state-regains-territory-from-syrian-rebels/a-19178062;
11/04/2016;;;
18/04/2016;;;
25/04/2016;;;
02/05/2016;;;
09/05/2016;;;
16/05/2016;;;
23/05/2016;;;
30/05/2016;;;
06/06/2016;Israel boosts troops in West Bank after Tel Aviv attack;https://www.aljazeera.com/news/2016/6/10/israel-boosts-troops-in-west-bank-after-tel-aviv-attack;
13/06/2016;Orlando nightclub shooting: How the attack unfolded;https://www.bbc.com/news/world-us-canada-36511778;true
20/06/2016;Brexit: Britain votes to leave EU in historic divorce;https://www.aljazeera.com/news/2016/6/24/brexit-britain-votes-to-leave-eu-in-historic-divorce;true
27/06/2016;Bangladesh siege: Country at a crossroads as violence hits Dhaka;https://www.bbc.com/news/world-asia-36692741;true
04/07/2016;Chilcot’s verdict: the Iraq War was a failure of oversight and planning;https://theconversation.com/chilcots-verdict-the-iraq-war-was-a-failure-of-oversight-and-planning-62066#;true
11/07/2016;Turkey's President Reasserts Control After Coup Attempt Unravels;https://www.npr.org/sections/thetwo-way/2016/07/15/486211652/turkey-military-says-it-has-taken-over-control-of-the-country;true
18/07/2016;Ansbach explosion: Bomber pledged allegiance to IS;https://www.bbc.com/news/world-europe-36882831;
