country_name,countAsActor1,countAsActor2,totalCount
Palestine,128246.0,128598.0,256844.0
Israel,108881.0,70097.0,178978.0
United States,2860.0,2081.0,4941.0
Egypt,1279.0,965.0,2244.0
Lebanon,444.0,458.0,902.0
Jordan,406.0,363.0,769.0
Qatar,342.0,350.0,692.0
Syria,226.0,229.0,455.0
Iran,248.0,152.0,400.0
United Kingdom,195.0,108.0,303.0
Turkey,104.0,136.0,240.0
Europe,166.0,64.0,230.0
Saudi Arabia,72.0,141.0,213.0
South Africa,58.0,105.0,163.0
Russia,56.0,94.0,150.0
France,110.0,38.0,148.0
Italy,75.0,69.0,144.0
Maldives,82.0,54.0,136.0
Canada,81.0,40.0,121.0
Iraq,67.0,50.0,117.0
