mention_week,conflict_continent,conflict_country_name,material_conflict_mentions
2015-02-16,Africa,Algeria,239
2015-02-16,Africa,Angola,23
2015-02-16,Africa,Benin,203
2015-02-16,Africa,Botswana,11
2015-02-16,Africa,Burkina Faso,281
2015-02-16,Africa,Burundi,96
2015-02-16,Africa,Cameroon,1005
2015-02-16,Africa,Cape Verde,4
2015-02-16,Africa,Central African Republic,7
2015-02-16,Africa,Chad,1478
2015-02-16,Africa,Comoros,23
2015-02-16,Africa,Democratic Republic of Congo,44
2015-02-16,Africa,Djibouti,28
2015-02-16,Africa,Egypt,10762
2015-02-16,Africa,Equatorial Guinea,4
2015-02-16,Africa,Eritrea,0
2015-02-16,Africa,Ethiopia,82
2015-02-16,Africa,Gambia,275
2015-02-16,Africa,Ghana,583
2015-02-16,Africa,Guinea,42
2015-02-16,Africa,Ivory Coast,93
2015-02-16,Africa,Kenya,1658
2015-02-16,Africa,Lesotho,25
2015-02-16,Africa,Liberia,290
2015-02-16,Africa,Libya,12087
2015-02-16,Africa,Madagascar,113
2015-02-16,Africa,Malawi,66
2015-02-16,Africa,Mali,143
2015-02-16,Africa,Mauritania,208
2015-02-16,Africa,Mauritius,63
2015-02-16,Africa,Morocco,1895
2015-02-16,Africa,Mozambique,64
2015-02-16,Africa,Namibia,66
2015-02-16,Africa,Niger,1500
2015-02-16,Africa,Nigeria,11954
2015-02-16,Africa,Republic of Congo,36
2015-02-16,Africa,Reunion,4
2015-02-16,Africa,Rwanda,136
2015-02-16,Africa,Senegal,53
2015-02-16,Africa,Sierra Leone,38
2015-02-16,Africa,Somalia,4325
2015-02-16,Africa,South Africa,1647
2015-02-16,Africa,South Sudan,1497
2015-02-16,Africa,Sudan,1140
2015-02-16,Africa,Tanzania,188
2015-02-16,Africa,Togo,23
2015-02-16,Africa,Tunisia,537
2015-02-16,Africa,Uganda,210
2015-02-16,Africa,Zambia,96
2015-02-16,Africa,Zimbabwe,627
2015-02-16,Africa,eSwatini,11
2015-02-16,Antarctica,Antarctica,212
2015-02-16,Asia,Afghanistan,4625
2015-02-16,Asia,Armenia,539
2015-02-16,Asia,Azerbaijan,450
2015-02-16,Asia,Bahrain,175
2015-02-16,Asia,Bangladesh,1499
2015-02-16,Asia,Bhutan,5
2015-02-16,Asia,Brunei,7
2015-02-16,Asia,Cambodia,74
2015-02-16,Asia,China,3550
2015-02-16,Asia,East Timor,13
2015-02-16,Asia,Georgia,61
2015-02-16,Asia,Hong Kong,115
2015-02-16,Asia,India,9263
2015-02-16,Asia,Indonesia,2738
2015-02-16,Asia,Iran,3941
2015-02-16,Asia,Iraq,12027
2015-02-16,Asia,Israel,5707
2015-02-16,Asia,Japan,2691
2015-02-16,Asia,Jordan,1008
2015-02-16,Asia,Kazakhstan,60
2015-02-16,Asia,Kuwait,558
2015-02-16,Asia,Kyrgyzstan,50
2015-02-16,Asia,Laos,27
2015-02-16,Asia,Lebanon,1155
2015-02-16,Asia,Malaysia,772
2015-02-16,Asia,Maldives,921
2015-02-16,Asia,Mongolia,52
2015-02-16,Asia,Myanmar,464
2015-02-16,Asia,Nepal,204
2015-02-16,Asia,North Korea,119
2015-02-16,Asia,Oman,44
2015-02-16,Asia,Pakistan,4151
2015-02-16,Asia,Palestine,462
2015-02-16,Asia,Philippines,2060
2015-02-16,Asia,Qatar,1119
2015-02-16,Asia,Saudi Arabia,1089
