mention_week,media_continent,media_country,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2026-01-12,Africa,Nigeria,Iran,Asia,5,5
2026-01-12,Africa,Egypt,Syria,Asia,35,31
2026-01-12,Africa,Ghana,United States,North America,29,15
2026-01-12,Africa,Kenya,Iran,Asia,13,13
2026-01-12,Africa,Egypt,United States,North America,84,81
2026-01-12,Africa,Egypt,United States,North America,6,6
2026-01-12,Africa,Ghana,Ghana,Africa,0,0
2026-01-12,Africa,Nigeria,United States,North America,15,10
2026-01-12,Africa,Libya,Syria,Asia,7,7
2026-01-12,Africa,Kenya,Israel,Asia,3,3
2026-01-12,Africa,Nigeria,Nigeria,Africa,15,15
2026-01-12,Africa,Nigeria,Nigeria,Africa,6,4
2026-01-12,Africa,South Africa,Israel,Asia,5,3
2026-01-12,Africa,Egypt,Syria,Asia,7,5
2026-01-12,Africa,Ghana,Nigeria,Africa,15,15
2026-01-12,Africa,Ghana,Nigeria,Africa,10,10
2026-01-12,Africa,Egypt,Syria,Asia,33,29
2026-01-12,Africa,South Africa,South Africa,Africa,96,84
2026-01-12,Africa,Egypt,Iran,Asia,3,3
2026-01-12,Africa,Ghana,United States,North America,6,6
2026-01-12,Africa,Zimbabwe,South Africa,Africa,6,5
2026-01-12,Africa,Egypt,United States,North America,4,4
2026-01-12,Africa,Nigeria,Nigeria,Africa,3,2
2026-01-12,Africa,Kenya,Kenya,Africa,97,87
2026-01-12,Africa,Egypt,Israel,Asia,62,50
2026-01-12,Africa,South Africa,United States,North America,0,0
2026-01-12,Africa,South Africa,Iran,Asia,0,0
2026-01-12,Africa,Egypt,Iran,Asia,16,13
2026-01-12,Africa,Nigeria,Nigeria,Africa,1,1
2026-01-12,Africa,Ghana,Iran,Asia,17,17
2026-01-12,Africa,Kenya,Israel,Asia,3,3
2026-01-12,Africa,Zimbabwe,Uganda,Africa,4,4
2026-01-12,Africa,Egypt,Iran,Asia,12,10
2026-01-12,Africa,Ghana,Ghana,Africa,20,16
2026-01-12,Africa,South Africa,United States,North America,3,3
2026-01-12,Africa,South Africa,Uganda,Africa,5,5
2026-01-12,Africa,Nigeria,Israel,Asia,5,5
2026-01-12,Africa,Kenya,Kenya,Africa,13,11
2026-01-12,Africa,Kenya,Uganda,Africa,36,31
2026-01-12,Africa,Nigeria,Nigeria,Africa,636,541
2026-01-12,Africa,Nigeria,Nigeria,Africa,24,21
2026-01-12,Africa,Egypt,United States,North America,1,1
2026-01-12,Africa,Nigeria,Ghana,Africa,11,6
2026-01-12,Africa,Nigeria,Iran,Asia,15,12
2026-01-12,Africa,Egypt,Israel,Asia,20,17
2026-01-12,Africa,Ghana,Ghana,Africa,8,7
2026-01-12,Africa,Egypt,Israel,Asia,6,6
2026-01-12,Africa,Egypt,Israel,Asia,24,24
2026-01-12,Africa,Ghana,Uganda,Africa,22,15
2026-01-12,Africa,South Africa,United States,North America,8,8
2026-01-12,Africa,Ghana,Nigeria,Africa,2,2
2026-01-12,Africa,Kenya,Iran,Asia,2,1
2026-01-12,Africa,Egypt,Syria,Asia,54,41
2026-01-12,Africa,Egypt,Iran,Asia,9,9
2026-01-12,Africa,Zimbabwe,United States,North America,1,1
2026-01-12,Africa,Malawi,Uganda,Africa,1,1
