mention_week,media_continent,media_country,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2026-01-12,South America,Paraguay,Argentina,South America,3,3
2026-01-12,South America,Venezuela,Venezuela,South America,5,4
2026-01-12,South America,Colombia,Sweden,Europe,3,3
2026-01-12,South America,Chile,United States,North America,7,6
2026-01-12,South America,Brazil,United States,North America,7,2
2026-01-12,South America,Brazil,Mexico,North America,10,6
2026-01-12,South America,Paraguay,Sweden,Europe,17,16
2026-01-12,South America,Venezuela,United States,North America,3,3
2026-01-12,South America,Venezuela,Venezuela,South America,5,5
2026-01-12,South America,Venezuela,Iran,Asia,0,0
2026-01-12,South America,Peru,United States,North America,8,8
2026-01-12,South America,Brazil,Brazil,South America,2,2
2026-01-12,South America,Colombia,United States,North America,13,11
2026-01-12,South America,Colombia,Sweden,Europe,51,44
2026-01-12,South America,Brazil,Venezuela,South America,4,4
2026-01-12,South America,Chile,Iran,Asia,12,11
2026-01-12,South America,Paraguay,United States,North America,4,4
2026-01-12,South America,Paraguay,Brazil,South America,3,3
2026-01-12,South America,Brazil,United States,North America,0,0
2026-01-12,South America,Colombia,Colombia,South America,72,63
2026-01-12,South America,Colombia,Venezuela,South America,3,2
2026-01-12,South America,Ecuador,Ecuador,South America,35,30
2026-01-12,South America,Guyana,United States,North America,1,1
2026-01-12,South America,Venezuela,Brazil,South America,12,9
2026-01-12,South America,Brazil,Brazil,South America,0,0
2026-01-12,South America,Peru,Peru,South America,0,0
2026-01-12,South America,Brazil,Iran,Asia,160,67
2026-01-12,South America,Argentina,Argentina,South America,200,157
2026-01-12,South America,Colombia,Ecuador,South America,6,5
2026-01-12,South America,Peru,Sweden,Europe,2,2
2026-01-12,South America,Venezuela,Iran,Asia,3,3
2026-01-12,South America,Colombia,Venezuela,South America,4,4
2026-01-12,South America,Brazil,Brazil,South America,1,1
2026-01-12,South America,Chile,Sweden,Europe,5,5
2026-01-12,South America,Argentina,Iran,Asia,86,65
2026-01-12,South America,Venezuela,Venezuela,South America,7,6
2026-01-12,South America,Paraguay,Venezuela,South America,5,5
2026-01-12,South America,Argentina,Iran,Asia,11,7
2026-01-12,South America,Paraguay,Sweden,Europe,3,3
2026-01-12,South America,Paraguay,Iran,Asia,3,3
2026-01-12,South America,Argentina,Venezuela,South America,2,2
2026-01-12,South America,Brazil,Colombia,South America,2,2
2026-01-12,South America,Venezuela,Venezuela,South America,7,7
2026-01-12,South America,Venezuela,Sweden,Europe,24,20
2026-01-12,South America,Brazil,Brazil,South America,12,7
2026-01-12,South America,Ecuador,Mexico,North America,5,4
2026-01-12,South America,Colombia,United States,North America,5,5
2026-01-12,South America,Brazil,Venezuela,South America,6,2
2026-01-12,South America,Venezuela,Sweden,Europe,4,4
2026-01-12,South America,Brazil,Iran,Asia,0,0
2026-01-12,South America,Guyana,Iran,Asia,0,0
2026-01-12,South America,Chile,Peru,South America,3,3
2026-01-12,South America,Peru,Colombia,South America,11,6
2026-01-12,South America,Argentina,Venezuela,South America,3,2
2026-01-12,South America,Brazil,Brazil,South America,4,1
2026-01-12,South America,Peru,United States,North America,2,2
2026-01-12,South America,Peru,Venezuela,South America,8,6
2026-01-12,South America,Peru,Argentina,South America,5,4
2026-01-12,South America,Bolivia,Sweden,Europe,0,0
2026-01-12,South America,Chile,Venezuela,South America,10,10
2026-01-12,South America,Colombia,Colombia,South America,237,206
2026-01-12,South America,Brazil,Iran,Asia,9,4
2026-01-12,South America,Brazil,Brazil,South America,10,2
2026-01-12,South America,Bolivia,Venezuela,South America,6,6
2026-01-12,South America,Brazil,Iran,Asia,18,16
2026-01-12,South America,Argentina,Argentina,South America,3,3
2026-01-12,South America,Argentina,Argentina,South America,10,10
2026-01-12,South America,Ecuador,Iran,Asia,4,4
2026-01-12,South America,Colombia,Colombia,South America,2,2
2026-01-12,South America,Chile,Sweden,Europe,14,7
2026-01-12,South America,Brazil,Argentina,South America,4,4
2026-01-12,South America,Argentina,Brazil,South America,20,19
2026-01-12,South America,Argentina,United States,North America,9,8
2026-01-12,South America,Brazil,Brazil,South America,7,5
2026-01-12,South America,Argentina,Iran,Asia,88,51
2026-01-12,South America,Bolivia,United States,North America,5,5
2026-01-12,South America,Chile,Mexico,North America,4,4
2026-01-12,South America,Argentina,Sweden,Europe,115,95
2026-01-12,South America,Venezuela,United States,North America,9,8
2026-01-12,South America,Uruguay,Iran,Asia,6,6
2026-01-12,South America,Argentina,United States,North America,79,68
2026-01-12,South America,Paraguay,Venezuela,South America,12,6
2026-01-12,South America,Colombia,Iran,Asia,0,0
2026-01-12,South America,Argentina,United States,North America,3,3
2026-01-12,South America,Brazil,United States,North America,25,21
2026-01-12,South America,Peru,Brazil,South America,4,2
2026-01-12,South America,Venezuela,Mexico,North America,3,3
2026-01-12,South America,Argentina,Argentina,South America,18,12
2026-01-12,South America,Brazil,Brazil,South America,7,6
2026-01-12,South America,Brazil,United States,North America,5,5
2026-01-12,South America,Ecuador,Venezuela,South America,11,10
2026-01-12,South America,Argentina,Mexico,North America,11,8
2026-01-12,South America,Argentina,Brazil,South America,22,20
2026-01-12,South America,Venezuela,Sweden,Europe,2,2
2026-01-12,South America,Argentina,Venezuela,South America,24,22
2026-01-12,South America,Venezuela,Venezuela,South America,152,121
2026-01-12,South America,Brazil,Brazil,South America,0,0
2026-01-12,South America,Venezuela,Venezuela,South America,71,50
2026-01-12,South America,Colombia,United States,North America,7,7
2026-01-12,South America,Paraguay,Venezuela,South America,8,7
2026-01-12,South America,Bolivia,Iran,Asia,9,8
2026-01-12,South America,Brazil,Iran,Asia,1,1
2026-01-12,South America,Uruguay,Venezuela,South America,8,8
2026-01-12,South America,Colombia,Iran,Asia,10,10
2026-01-12,South America,Brazil,Colombia,South America,7,6
2026-01-12,South America,Colombia,Sweden,Europe,8,7
2026-01-12,South America,Peru,Sweden,Europe,34,20
2026-01-12,South America,Uruguay,Venezuela,South America,7,5
