COUNTRY,MENTIONS,FATALITIES
Afghanistan,59012,886
Albania,11062,0
Algeria,6080,32
American Samoa,91,0
Andorra,331,0
Angola,1774,191
Antigua and Barbuda,321,1
Argentina,29886,5
Armenia,15059,2
Aruba,105,1
Australia,287236,0
Austria,14979,2
Azerbaijan,16158,6
Bahamas,3151,0
Bahrain,1159,0
Bangladesh,61860,351
Belarus,11241,2
Belgium,22260,0
Belize,4964,31
Benin,2306,421
Bermuda,824,0
Bolivia,6245,37
Bosnia and Herzegovina,3298,0
Botswana,545,4
Brazil,64340,7367
British Virgin Islands,48,0
Bulgaria,12516,1
Burkina Faso,3444,4964
Burundi,1770,202
Cambodia,38576,0
Cameroon,3936,1628
Canada,146316,0
Cape Verde,165,0
Cayman Islands,224,0
Central African Republic,945,944
Chad,5176,304
China,119117,1
Colombia,62512,2178
Comoros,164,2
Cook Islands,157,0
Costa Rica,1303,5
Croatia,8931,0
Cuba,11779,5
Cyprus,5477,1
Denmark,13918,0
Dominica,383,0
Dominican Republic,2504,23
Ecuador,15111,3853
Egypt,44868,52
El Salvador,11523,9
Estonia,3583,0
Ethiopia,7552,5940
Falkland Islands,37,0
Faroe Islands,32,0
Fiji,1220,0
Finland,7833,0
France,120084,10
French Guiana,30,0
French Polynesia,52,0
Gabon,383,1
Gambia,1645,0
Georgia,4362,0
Germany,107335,7
Ghana,15932,260
Gibraltar,225,0
Greece,48696,6
Greenland,5416,0
Grenada,840,0
Guadeloupe,1905,0
Guam,822,0
Guatemala,7242,461
Guinea,2479,30
Guyana,2252,10
Haiti,15218,2624
Honduras,5003,522
Hungary,12493,1
Iceland,1633,0
India,298701,1115
Indonesia,44059,247
Iran,132383,711
Iraq,30174,556
Ireland,47043,0
Isle of Man,57,0
Israel,1533653,47
Italy,112405,0
Jamaica,6165,268
Japan,46759,0
Jordan,15714,9
Kazakhstan,2812,5
Kenya,21230,916
Kosovo,6450,1
Kyrgyzstan,1348,5
Laos,1789,5
Latvia,3442,3
Lebanon,64142,399
Lesotho,2013,0
Liberia,2670,22
Libya,11904,275
Lithuania,7768,0
Luxembourg,1312,0
Madagascar,5491,263
Malawi,2393,42
Malaysia,10499,3
Maldives,721,0
Mali,7240,3715
Malta,4278,2
Martinique,156,0
Mauritania,893,0
Mauritius,3853,0
Mayotte,430,0
Mexico,134232,7857
Moldova,6914,0
Monaco,664,0
Mongolia,1092,0
Montenegro,2203,0
Morocco,9846,54
Mozambique,3907,665
Namibia,2057,1
Nepal,24505,81
Netherlands,21257,1
New Caledonia,195,0
New Zealand,24053,0
Nicaragua,2416,7
Niger,7407,1865
Nigeria,104995,11512
North Korea,22933,1
North Macedonia,7732,0
Northern Mariana Islands,22,0
Norway,9688,1
Pakistan,206976,5025
Palau,392,0
Palestine,111810,16833
Panama,6890,2
Papua New Guinea,1143,131
Paraguay,2665,0
Peru,20841,46
Philippines,28663,506
Poland,50215,0
Portugal,18490,0
Puerto Rico,1941,158
Qatar,18025,6
Romania,25240,0
Russia,745245,1797
Rwanda,17685,19
Saint Kitts and Nevis,52,0
Saint Lucia,158,0
San Marino,55,0
Sao Tome and Principe,77,0
Saudi Arabia,19773,1
Serbia,16639,1
Sierra Leone,712,6
Singapore,9903,0
Slovakia,5359,0
Slovenia,2071,0
Somalia,14316,9366
South Africa,50871,153
South Korea,48630,0
South Sudan,10175,3070
Spain,89140,2
Sri Lanka,8042,8
Sudan,66483,17510
Suriname,593,0
Sweden,70822,1
Switzerland,16410,0
Syria,153377,7779
Taiwan,11061,0
Tajikistan,1246,10
Tanzania,4623,118
Thailand,56931,85
Togo,789,29
Trinidad and Tobago,4927,170
Tunisia,5715,2
Turkey,99151,6
Turkmenistan,567,0
Uganda,8086,191
Ukraine,700425,73018
United Arab Emirates,6788,0
United Kingdom,385296,3
United States,2785606,50
Uruguay,3259,0
Uzbekistan,2311,5
Venezuela,69839,424
Vietnam,17178,0
Yemen,58240,2784
Zambia,1912,17
Zimbabwe,7461,7
