mention_week,conflict_country_name,material_conflict_mentions
2015-02-16,United States,98192
2015-02-16,Ukraine,22242
2015-02-16,Syria,15591
2015-02-16,Russia,12586
2015-02-16,Australia,12322
2015-02-16,Libya,12087
2015-02-16,Iraq,12027
2015-02-16,Nigeria,11954
2015-02-16,Egypt,10762
2015-02-16,United Kingdom,10101
2015-02-16,India,9263
2015-02-16,Turkey,8509
2015-02-16,Canada,6125
2015-02-16,Israel,5707
2015-02-16,France,5178
2015-02-16,Afghanistan,4625
2015-02-16,Venezuela,4549
2015-02-16,Yemen,4512
2015-02-16,Somalia,4325
2015-02-16,Pakistan,4151
2015-02-16,Iran,3941
2015-02-16,Mexico,3753
2015-02-16,China,3550
2015-02-16,Germany,3249
2015-02-16,Denmark,3003
2015-02-23,United States,220589
2015-02-23,Russia,50240
2015-02-23,Syria,41214
2015-02-23,Iraq,36043
2015-02-23,Ukraine,29132
2015-02-23,Australia,26434
2015-02-23,United Kingdom,23017
2015-02-23,Egypt,21184
2015-02-23,Nigeria,19563
2015-02-23,Israel,18868
2015-02-23,Turkey,17631
2015-02-23,France,14388
2015-02-23,Venezuela,12849
2015-02-23,Bangladesh,11883
2015-02-23,Mexico,11881
2015-02-23,India,10859
2015-02-23,Afghanistan,10829
2015-02-23,Iran,9313
2015-02-23,Pakistan,9162
2015-02-23,China,9030
2015-02-23,Canada,8293
2015-02-23,Germany,7882
2015-02-23,Indonesia,7712
2015-02-23,Philippines,6718
2015-02-23,Libya,6513
2015-03-02,United States,237230
2015-03-02,Russia,48205
2015-03-02,Iraq,37647
2015-03-02,Syria,28358
2015-03-02,Australia,25787
2015-03-02,Ukraine,25136
2015-03-02,United Kingdom,24762
2015-03-02,India,22062
2015-03-02,Israel,19839
2015-03-02,France,15175
2015-03-02,Egypt,14983
2015-03-02,Nigeria,14512
2015-03-02,Indonesia,13834
2015-03-02,Iran,13549
2015-03-02,Canada,12469
2015-03-02,Mexico,11490
2015-03-02,South Korea,10973
2015-03-02,Turkey,9558
2015-03-02,China,9020
2015-03-02,Libya,8019
2015-03-02,Yemen,7977
2015-03-02,Afghanistan,7126
2015-03-02,Pakistan,7095
2015-03-02,Mali,5988
2015-03-02,Venezuela,5897
2015-03-09,United States,241638
2015-03-09,Iraq,49619
2015-03-09,Syria,32104
2015-03-09,Russia,26761
2015-03-09,India,24248
2015-03-09,Pakistan,22923
2015-03-09,Australia,22732
2015-03-09,United Kingdom,19413
2015-03-09,Nigeria,15473
2015-03-09,Ukraine,15242
2015-03-09,France,15241
2015-03-09,Egypt,14141
2015-03-09,Israel,13974
2015-03-09,Turkey,12430
2015-03-09,China,10537
2015-03-09,Iran,10355
2015-03-09,Mexico,10307
2015-03-09,Canada,9873
2015-03-09,Venezuela,8924
2015-03-09,Libya,8466
2015-03-09,Afghanistan,8066
2015-03-09,Germany,7722
2015-03-09,Japan,5898
2015-03-09,Philippines,5809
2015-03-09,Indonesia,5802
2015-03-16,United States,254968
2015-03-16,Tunisia,53783
2015-03-16,Yemen,28897
2015-03-16,Pakistan,25481
2015-03-16,Syria,25295
2015-03-16,India,24695
2015-03-16,Australia,24401
2015-03-16,Iraq,21611
2015-03-16,Russia,20974
2015-03-16,United Kingdom,20244
2015-03-16,Israel,16857
2015-03-16,Ukraine,15506
2015-03-16,Libya,13570
2015-03-16,France,12985
2015-03-16,Afghanistan,11225
2015-03-16,Spain,10747
2015-03-16,Nigeria,10503
2015-03-16,Egypt,10178
2015-03-16,Turkey,9886
2015-03-16,Canada,9514
2015-03-16,Germany,9356
2015-03-16,Italy,8979
2015-03-16,China,8608
2015-03-16,Iran,8407
2015-03-16,Mexico,7146
2015-03-23,United States,218574
2015-03-23,Yemen,42815
2015-03-23,United Kingdom,24360
2015-03-23,Saudi Arabia,22885
2015-03-23,Syria,22772
2015-03-23,Nigeria,22362
2015-03-23,Iraq,20977
2015-03-23,Italy,20283
2015-03-23,Afghanistan,19634
2015-03-23,Australia,18721
2015-03-23,India,16871
2015-03-23,Pakistan,15625
2015-03-23,Ukraine,13850
2015-03-23,Russia,13513
2015-03-23,France,13471
2015-03-23,Iran,12637
2015-03-23,Israel,11647
2015-03-23,Canada,9746
2015-03-23,Tunisia,9656
2015-03-23,Germany,8532
2015-03-23,Spain,8047
2015-03-23,Egypt,7855
2015-03-23,China,7717
2015-03-23,Turkey,7640
2015-03-23,Somalia,6804
2015-03-30,United States,199901
2015-03-30,Kenya,61008
2015-03-30,Yemen,37011
2015-03-30,Syria,26394
2015-03-30,Saudi Arabia,26015
2015-03-30,Turkey,22564
2015-03-30,Israel,21165
2015-03-30,Somalia,20167
2015-03-30,Australia,20107
2015-03-30,Iraq,20073
