mention_week,conflict_country_name,conflict_continent,material_conflict_mentions
2015-02-16,Ukraine,Europe,12186
2015-02-16,Australia,Oceania,9826
2015-02-16,United States,North America,9795
2015-02-23,Australia,Oceania,23188
2015-02-23,United States,North America,21908
2015-02-23,Russia,Europe,21052
2015-03-02,United States,North America,23926
2015-03-02,Australia,Oceania,21717
2015-03-02,Russia,Europe,19812
2015-03-09,United States,North America,24105
2015-03-09,Australia,Oceania,18523
2015-03-09,Iraq,Asia,14116
2015-03-16,United States,North America,23595
2015-03-16,Australia,Oceania,20903
2015-03-16,Tunisia,Africa,15868
2015-03-23,United States,North America,18049
2015-03-23,Australia,Oceania,16790
2015-03-23,United Kingdom,Europe,13187
2015-03-30,United States,North America,20931
2015-03-30,Kenya,Africa,17233
2015-03-30,Australia,Oceania,17226
2015-04-06,United States,North America,24986
2015-04-06,Australia,Oceania,18552
2015-04-06,Syria,Asia,9889
2015-04-13,Australia,Oceania,22915
2015-04-13,United States,North America,22829
2015-04-13,Ukraine,Europe,12820
2015-04-20,Australia,Oceania,27219
2015-04-20,United States,North America,22722
2015-04-20,United Kingdom,Europe,15067
2015-04-27,Australia,Oceania,30331
2015-04-27,United States,North America,24803
2015-04-27,Indonesia,Asia,24257
2015-05-04,United States,North America,24492
2015-05-04,Australia,Oceania,18087
2015-05-04,United Kingdom,Europe,14866
2015-05-11,United States,North America,20635
2015-05-11,Australia,Oceania,15942
2015-05-11,United Kingdom,Europe,11699
2015-05-18,United States,North America,22603
2015-05-18,Australia,Oceania,17604
2015-05-18,Syria,Asia,13128
2015-05-25,United States,North America,18189
2015-05-25,Australia,Oceania,17603
2015-05-25,Syria,Asia,12354
2015-06-01,Australia,Oceania,18247
2015-06-01,United States,North America,17136
2015-06-01,Ukraine,Europe,13368
2015-06-08,United States,North America,25449
2015-06-08,Australia,Oceania,18958
2015-06-08,United Kingdom,Europe,11938
2015-06-15,United States,North America,31600
2015-06-15,Australia,Oceania,18470
2015-06-15,United Kingdom,Europe,10372
2015-06-22,United States,North America,29715
2015-06-22,Australia,Oceania,23252
2015-06-22,Tunisia,Africa,16483
2015-06-29,United States,North America,19016
2015-06-29,Australia,Oceania,18844
2015-06-29,United Kingdom,Europe,16165
2015-07-06,Australia,Oceania,21018
2015-07-06,United States,North America,20493
2015-07-06,United Kingdom,Europe,15616
2015-07-13,United States,North America,29341
2015-07-13,Australia,Oceania,22852
2015-07-13,Ukraine,Europe,12836
2015-07-20,Turkey,Asia,29294
2015-07-20,United States,North America,25711
2015-07-20,Syria,Asia,19249
2015-07-27,United States,North America,25745
2015-07-27,Turkey,Asia,24727
2015-07-27,Australia,Oceania,19384
2015-08-03,United States,North America,24911
2015-08-03,Australia,Oceania,15115
2015-08-03,Israel,Asia,12236
2015-08-10,United States,North America,29208
2015-08-10,Australia,Oceania,19049
2015-08-10,Turkey,Asia,18705
2015-08-17,Australia,Oceania,23378
2015-08-17,United States,North America,21758
2015-08-17,United Kingdom,Europe,12035
2015-08-24,United States,North America,31816
2015-08-24,Australia,Oceania,26798
2015-08-24,Ukraine,Europe,11026
2015-08-31,Australia,Oceania,23754
2015-08-31,United States,North America,19223
2015-08-31,Syria,Asia,13271
2015-09-07,Australia,Oceania,20903
2015-09-07,United States,North America,18574
2015-09-07,Turkey,Asia,17256
2015-09-14,United States,North America,23181
2015-09-14,Australia,Oceania,21951
2015-09-14,United Kingdom,Europe,12406
2015-09-21,Australia,Oceania,20504
2015-09-21,United States,North America,17686
2015-09-21,Russia,Europe,10900
2015-09-28,United States,North America,37142
2015-09-28,Russia,Europe,32909
2015-09-28,Australia,Oceania,29652
2015-10-05,Israel,Asia,39342
2015-10-05,Russia,Europe,33808
2015-10-05,Australia,Oceania,32087
2015-10-12,Israel,Asia,42389
2015-10-12,Australia,Oceania,31336
2015-10-12,Russia,Europe,25172
2015-10-19,Australia,Oceania,24027
2015-10-19,Israel,Asia,21944
2015-10-19,United States,North America,15054
2015-10-26,Australia,Oceania,50571
2015-10-26,United States,North America,22967
2015-10-26,Israel,Asia,17003
2015-11-02,United States,North America,21940
2015-11-02,Australia,Oceania,19783
2015-11-02,Russia,Europe,19644
2015-11-09,France,Europe,42902
2015-11-09,Australia,Oceania,22959
2015-11-09,United States,North America,21133
2015-11-16,France,Europe,72945
2015-11-16,Syria,Asia,24147
2015-11-16,Australia,Oceania,23705
2015-11-23,Russia,Europe,52805
2015-11-23,Turkey,Asia,47711
2015-11-23,France,Europe,31391
2015-11-30,United States,North America,49345
2015-11-30,Australia,Oceania,25601
2015-11-30,Russia,Europe,19913
2015-12-07,Australia,Oceania,32888
2015-12-07,United States,North America,30157
2015-12-07,Russia,Europe,17812
2015-12-14,United States,North America,24321
2015-12-14,Australia,Oceania,18027
2015-12-14,Russia,Europe,15008
2015-12-21,United States,North America,17488
2015-12-21,Syria,Asia,14462
2015-12-21,Israel,Asia,14249
2015-12-28,United States,North America,18242
2015-12-28,Saudi Arabia,Asia,12320
2015-12-28,Australia,Oceania,11359
2016-01-04,United States,North America,26012
2016-01-04,Saudi Arabia,Asia,21759
2016-01-04,Iran,Asia,20374
2016-01-11,United States,North America,25278
2016-01-11,Australia,Oceania,23973
2016-01-11,Turkey,Asia,20966
2016-01-18,United States,North America,21318
2016-01-18,Australia,Oceania,18764
2016-01-18,United Kingdom,Europe,14204
2016-01-25,United States,North America,23318
2016-01-25,Australia,Oceania,17342
2016-01-25,United Kingdom,Europe,11762
2016-02-01,United States,North America,24179
2016-02-01,Australia,Oceania,20556
2016-02-01,Syria,Asia,17902
2016-02-08,United States,North America,22783
2016-02-08,Syria,Asia,21397
2016-02-08,Australia,Oceania,17578
2016-02-15,Turkey,Asia,26106
2016-02-15,United States,North America,25814
2016-02-15,Syria,Asia,23577
2016-02-22,United States,North America,25953
2016-02-22,Syria,Asia,20387
2016-02-22,Australia,Oceania,18664
2016-02-29,Australia,Oceania,23611
2016-02-29,United States,North America,23466
2016-02-29,Russia,Europe,12396
2016-03-07,United States,North America,26719
2016-03-07,Australia,Oceania,19090
2016-03-07,Israel,Asia,12267
2016-03-14,Turkey,Asia,27098
2016-03-14,United States,North America,23437
2016-03-14,France,Europe,15867
2016-03-21,Belgium,Europe,62242
2016-03-21,France,Europe,25527
2016-03-21,United States,North America,23034
2016-03-28,United States,North America,22794
2016-03-28,Australia,Oceania,17001
2016-03-28,Belgium,Europe,14347
2016-04-04,Australia,Oceania,23374
2016-04-04,United States,North America,20305
2016-04-04,Syria,Asia,14818
2016-04-11,Australia,Oceania,23029
2016-04-11,United States,North America,20099
2016-04-11,Syria,Asia,13015
2016-04-18,United States,North America,21579
2016-04-18,Syria,Asia,15780
2016-04-18,Australia,Oceania,13644
2016-04-25,United States,North America,31167
2016-04-25,Syria,Asia,19689
2016-04-25,Australia,Oceania,15829
2016-05-02,United States,North America,30997
2016-05-02,Syria,Asia,26133
2016-05-02,United Kingdom,Europe,15079
2016-05-09,United States,North America,26105
2016-05-09,United Kingdom,Europe,18491
2016-05-09,Syria,Asia,16978
2016-05-16,United States,North America,29967
2016-05-16,United Kingdom,Europe,14388
2016-05-16,Australia,Oceania,12021
2016-05-23,United States,North America,36133
2016-05-23,Saudi Arabia,Asia,22916
2016-05-23,United Kingdom,Europe,18249
2016-05-30,United States,North America,37358
2016-05-30,Saudi Arabia,Asia,25142
2016-05-30,Syria,Asia,14689
2016-06-06,United States,North America,54208
2016-06-06,Saudi Arabia,Asia,22330
2016-06-06,United Kingdom,Europe,14489
2016-06-13,United States,North America,76610
2016-06-13,United Kingdom,Europe,30286
2016-06-13,Saudi Arabia,Asia,24293
2016-06-20,United States,North America,35488
2016-06-20,United Kingdom,Europe,24007
2016-06-20,Saudi Arabia,Asia,23045
2016-06-27,Turkey,Asia,40524
2016-06-27,United States,North America,32693
2016-06-27,Saudi Arabia,Asia,24003
2016-07-04,United States,North America,99091
2016-07-04,Saudi Arabia,Asia,29252
2016-07-04,United Kingdom,Europe,17941
2016-07-11,United States,North America,69365
2016-07-11,Turkey,Asia,48888
2016-07-11,France,Europe,24914
2016-07-18,United States,North America,57794
2016-07-18,Turkey,Asia,31270
2016-07-18,Germany,Europe,30318
2016-07-25,United States,North America,52886
2016-07-25,France,Europe,30226
2016-07-25,Saudi Arabia,Asia,25469
2016-08-01,United States,North America,40339
2016-08-01,Saudi Arabia,Asia,22686
2016-08-01,Syria,Asia,22179
2016-08-08,United States,North America,43069
2016-08-08,Pakistan,Asia,26082
2016-08-08,United Kingdom,Europe,26051
2016-08-15,United States,North America,43667
2016-08-15,Afghanistan,Asia,27377
2016-08-15,Turkey,Asia,26027
2016-08-22,United States,North America,38777
2016-08-22,Turkey,Asia,34507
2016-08-22,Pakistan,Asia,26329
2016-08-29,United States,North America,29630
2016-08-29,Saudi Arabia,Asia,25141
2016-08-29,Australia,Oceania,18863
2016-09-05,United States,North America,33063
2016-09-05,Australia,Oceania,18295
2016-09-05,Syria,Asia,17393
2016-09-12,United States,North America,37624
2016-09-12,Syria,Asia,24764
2016-09-12,United Kingdom,Europe,19321
2016-09-19,United States,North America,64163
2016-09-19,Syria,Asia,30896
2016-09-19,United Kingdom,Europe,15797
2016-09-26,United States,North America,44790
2016-09-26,Syria,Asia,21829
2016-09-26,Russia,Europe,18208
2016-10-03,United States,North America,39262
2016-10-03,Syria,Asia,21262
2016-10-03,Russia,Europe,17893
2016-10-10,United States,North America,34144
2016-10-10,Syria,Asia,20749
2016-10-10,Russia,Europe,17082
2016-10-17,United States,North America,31041
2016-10-17,Iraq,Asia,27329
2016-10-17,Syria,Asia,22876
2016-10-24,United States,North America,27277
2016-10-24,Syria,Asia,20354
2016-10-24,Iraq,Asia,17091
2016-10-31,United States,North America,35993
2016-10-31,Turkey,Asia,17480
2016-10-31,Iraq,Asia,17039
2016-11-07,United States,North America,44223
2016-11-07,United Kingdom,Europe,14250
2016-11-07,Australia,Oceania,12656
2016-11-14,United States,North America,34844
2016-11-14,Syria,Asia,16671
2016-11-14,Australia,Oceania,15762
2016-11-21,United States,North America,30893
2016-11-21,United Kingdom,Europe,17465
2016-11-21,Syria,Asia,13729
2016-11-28,United States,North America,32999
2016-11-28,Syria,Asia,15650
2016-11-28,Australia,Oceania,14677
2016-12-05,United States,North America,31368
2016-12-05,Syria,Asia,23704
2016-12-05,United Kingdom,Europe,17159
2016-12-12,Syria,Asia,33639
2016-12-12,United States,North America,25899
2016-12-12,United Kingdom,Europe,18384
2016-12-19,Turkey,Asia,40560
2016-12-19,Russia,Europe,34763
2016-12-19,Germany,Europe,32537
2016-12-26,United States,North America,23207
2016-12-26,Russia,Europe,22740
2016-12-26,Turkey,Asia,18794
2017-01-02,United States,North America,32166
2017-01-02,Turkey,Asia,27231
2017-01-02,Syria,Asia,13622
2017-01-09,United States,North America,34685
2017-01-09,United Kingdom,Europe,15405
2017-01-09,Australia,Oceania,12388
2017-01-16,United States,North America,43216
2017-01-16,United Kingdom,Europe,20072
2017-01-16,Australia,Oceania,12175
2017-01-23,United States,North America,43478
2017-01-23,United Kingdom,Europe,20018
2017-01-23,Syria,Asia,12495
2017-01-30,United States,North America,55646
2017-01-30,United Kingdom,Europe,18698
2017-01-30,Canada,North America,16779
2017-02-06,United States,North America,45083
2017-02-06,United Kingdom,Europe,16754
2017-02-06,Australia,Oceania,14966
2017-02-13,United States,North America,38525
2017-02-13,Australia,Oceania,18672
2017-02-13,United Kingdom,Europe,14267
2017-02-20,United States,North America,35157
2017-02-20,United Kingdom,Europe,15507
2017-02-20,Australia,Oceania,14807
2017-02-27,United States,North America,34965
2017-02-27,Syria,Asia,16603
