mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,material_conflict_unique_events
2015-02-16,United States,North America,98192,33319
2015-02-16,Ukraine,Europe,22242,8985
2015-02-16,Syria,Asia,15591,6371
2015-02-16,Russia,Europe,12586,5546
2015-02-16,Australia,Oceania,12322,2817
2015-02-23,United States,North America,220589,65640
2015-02-23,Russia,Europe,50240,15941
2015-02-23,Syria,Asia,41214,16107
2015-02-23,Iraq,Asia,36043,11600
2015-02-23,Ukraine,Europe,29132,13224
2015-03-02,United States,North America,237230,68309
2015-03-02,Russia,Europe,48205,18518
2015-03-02,Iraq,Asia,37647,14394
2015-03-02,Syria,Asia,28358,12712
2015-03-02,Australia,Oceania,25787,5174
2015-03-09,United States,North America,241638,68867
2015-03-09,Iraq,Asia,49619,17026
2015-03-09,Syria,Asia,32104,12613
2015-03-09,Russia,Europe,26761,12988
2015-03-09,India,Asia,24248,11731
2015-03-16,United States,North America,254968,66261
2015-03-16,Tunisia,Africa,53783,13294
2015-03-16,Yemen,Asia,28897,8871
2015-03-16,Pakistan,Asia,25481,11051
2015-03-16,Syria,Asia,25295,10164
2015-03-23,United States,North America,218574,62981
2015-03-23,Yemen,Asia,42815,16378
2015-03-23,United Kingdom,Europe,24360,8715
2015-03-23,Saudi Arabia,Asia,22885,9632
2015-03-23,Syria,Asia,22772,9851
2015-03-30,United States,North America,199901,61840
2015-03-30,Kenya,Africa,61008,16135
2015-03-30,Yemen,Asia,37011,15405
2015-03-30,Syria,Asia,26394,10517
2015-03-30,Saudi Arabia,Asia,26015,9120
2015-04-06,United States,North America,258132,69324
2015-04-06,Syria,Asia,27477,11377
2015-04-06,Yemen,Asia,25881,11320
2015-04-06,Kenya,Africa,23850,9509
2015-04-06,Australia,Oceania,20326,3424
2015-04-13,United States,North America,234949,67614
2015-04-13,Iraq,Asia,46449,13702
2015-04-13,Australia,Oceania,27866,4829
2015-04-13,Yemen,Asia,22379,9518
2015-04-13,Ukraine,Europe,20884,9295
2015-04-20,United States,North America,239721,62230
2015-04-20,Australia,Oceania,30903,5916
2015-04-20,Syria,Asia,29570,11085
2015-04-20,Iraq,Asia,23811,7683
2015-04-20,Yemen,Asia,22519,9504
2015-04-27,United States,North America,291392,65030
2015-04-27,Australia,Oceania,36462,6684
2015-04-27,Indonesia,Asia,33316,7762
2015-04-27,Syria,Asia,32022,12239
2015-04-27,Nigeria,Africa,20807,6489
2015-05-04,United States,North America,315083,65270
2015-05-04,Syria,Asia,30065,12056
2015-05-04,United Kingdom,Europe,29550,8871
2015-05-04,Australia,Oceania,21389,4001
2015-05-04,Iraq,Asia,19200,6499
2015-05-11,United States,North America,275187,60344
2015-05-11,Syria,Asia,37424,14885
2015-05-11,Iraq,Asia,33071,9769
2015-05-11,Afghanistan,Asia,30635,5692
2015-05-11,Egypt,Africa,23564,7507
2015-05-18,United States,North America,288511,63596
2015-05-18,Iraq,Asia,43867,14234
2015-05-18,Syria,Asia,38910,15379
2015-05-18,Australia,Oceania,19957,3485
2015-05-18,United Kingdom,Europe,19540,7739
2015-05-25,United States,North America,215843,54032
2015-05-25,Syria,Asia,34968,13861
2015-05-25,Iraq,Asia,32707,10999
2015-05-25,Australia,Oceania,20671,3986
2015-05-25,Israel,Asia,20233,7476
2015-06-01,United States,North America,220768,54244
2015-06-01,Iraq,Asia,31521,10638
2015-06-01,Syria,Asia,28195,12460
2015-06-01,Ukraine,Europe,24326,9986
2015-06-01,China,Asia,22990,5982
2015-06-08,United States,North America,293769,62293
2015-06-08,Syria,Asia,30591,11605
2015-06-08,Iraq,Asia,21340,7984
2015-06-08,India,Asia,21331,9527
2015-06-08,Israel,Asia,20862,8449
2015-06-15,United States,North America,360502,72359
2015-06-15,Syria,Asia,29343,11749
2015-06-15,Iraq,Asia,21305,6150
2015-06-15,Australia,Oceania,20470,3222
2015-06-15,Israel,Asia,20175,7870
2015-06-22,United States,North America,415312,74186
2015-06-22,Tunisia,Africa,52109,9995
2015-06-22,Syria,Asia,50695,18318
