mention_week,conflict_country_name,conflict_continent,material_conflict_mentions,google_search
2015-02-16,United States,North America,98192,https://www.google.com/search?q=site:npr.org+United States+news+after:2015-02-16+before:2015-02-23
2015-02-16,Ukraine,Europe,22242,https://www.google.com/search?q=site:bbc.com+Ukraine+news+after:2015-02-16+before:2015-02-23
2015-02-16,Syria,Asia,15591,https://www.google.com/search?q=site:pbs.org+Syria+news+after:2015-02-16+before:2015-02-23
2015-02-16,Russia,Europe,12586,https://www.google.com/search?q=site:aljazeera.com+Russia+news+after:2015-02-16+before:2015-02-23
2015-02-16,Australia,Oceania,12322,https://www.google.com/search?q=site:pbs.org+Australia+news+after:2015-02-16+before:2015-02-23
2015-02-23,United States,North America,220589,https://www.google.com/search?q=site:bbc.com+United States+news+after:2015-02-23+before:2015-03-02
2015-02-23,Russia,Europe,50240,https://www.google.com/search?q=site:pbs.org+Russia+news+after:2015-02-23+before:2015-03-02
2015-02-23,Syria,Asia,41214,https://www.google.com/search?q=site:pbs.org+Syria+news+after:2015-02-23+before:2015-03-02
2015-02-23,Iraq,Asia,36043,https://www.google.com/search?q=site:dw.com+Iraq+news+after:2015-02-23+before:2015-03-02
2015-02-23,Ukraine,Europe,29132,https://www.google.com/search?q=site:bbc.com+Ukraine+news+after:2015-02-23+before:2015-03-02
2015-03-02,United States,North America,237230,https://www.google.com/search?q=site:pbs.org+United States+news+after:2015-03-02+before:2015-03-09
2015-03-02,Russia,Europe,48205,https://www.google.com/search?q=site:reuters.com+Russia+news+after:2015-03-02+before:2015-03-09
2015-03-02,Iraq,Asia,37647,https://www.google.com/search?q=site:npr.org+Iraq+news+after:2015-03-02+before:2015-03-09
2015-03-02,Syria,Asia,28358,https://www.google.com/search?q=site:apnews.com+Syria+news+after:2015-03-02+before:2015-03-09
2015-03-02,Australia,Oceania,25787,https://www.google.com/search?q=site:apnews.com+Australia+news+after:2015-03-02+before:2015-03-09
2015-03-09,United States,North America,241638,https://www.google.com/search?q=site:bbc.com+United States+news+after:2015-03-09+before:2015-03-16
2015-03-09,Iraq,Asia,49619,https://www.google.com/search?q=site:apnews.com+Iraq+news+after:2015-03-09+before:2015-03-16
2015-03-09,Syria,Asia,32104,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2015-03-09+before:2015-03-16
2015-03-09,Russia,Europe,26761,https://www.google.com/search?q=site:pbs.org+Russia+news+after:2015-03-09+before:2015-03-16
2015-03-09,India,Asia,24248,https://www.google.com/search?q=site:dw.com+India+news+after:2015-03-09+before:2015-03-16
2015-03-16,United States,North America,254968,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2015-03-16+before:2015-03-23
2015-03-16,Tunisia,Africa,53783,https://www.google.com/search?q=site:reuters.com+Tunisia+news+after:2015-03-16+before:2015-03-23
2015-03-16,Yemen,Asia,28897,https://www.google.com/search?q=site:bbc.com+Yemen+news+after:2015-03-16+before:2015-03-23
2015-03-16,Pakistan,Asia,25481,https://www.google.com/search?q=site:dw.com+Pakistan+news+after:2015-03-16+before:2015-03-23
2015-03-16,Syria,Asia,25295,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2015-03-16+before:2015-03-23
2015-03-23,United States,North America,218574,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2015-03-23+before:2015-03-30
2015-03-23,Yemen,Asia,42815,https://www.google.com/search?q=site:reuters.com+Yemen+news+after:2015-03-23+before:2015-03-30
2015-03-23,United Kingdom,Europe,24360,https://www.google.com/search?q=site:reuters.com+United Kingdom+news+after:2015-03-23+before:2015-03-30
2015-03-23,Saudi Arabia,Asia,22885,https://www.google.com/search?q=site:reuters.com+Saudi Arabia+news+after:2015-03-23+before:2015-03-30
2015-03-23,Syria,Asia,22772,https://www.google.com/search?q=site:pbs.org+Syria+news+after:2015-03-23+before:2015-03-30
2015-03-30,United States,North America,199901,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2015-03-30+before:2015-04-06
2015-03-30,Kenya,Africa,61008,https://www.google.com/search?q=site:npr.org+Kenya+news+after:2015-03-30+before:2015-04-06
2015-03-30,Yemen,Asia,37011,https://www.google.com/search?q=site:dw.com+Yemen+news+after:2015-03-30+before:2015-04-06
2015-03-30,Syria,Asia,26394,https://www.google.com/search?q=site:pbs.org+Syria+news+after:2015-03-30+before:2015-04-06
2015-03-30,Saudi Arabia,Asia,26015,https://www.google.com/search?q=site:npr.org+Saudi Arabia+news+after:2015-03-30+before:2015-04-06
2015-04-06,United States,North America,258132,https://www.google.com/search?q=site:apnews.com+United States+news+after:2015-04-06+before:2015-04-13
2015-04-06,Syria,Asia,27477,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2015-04-06+before:2015-04-13
2015-04-06,Yemen,Asia,25881,https://www.google.com/search?q=site:aljazeera.com+Yemen+news+after:2015-04-06+before:2015-04-13
2015-04-06,Kenya,Africa,23850,https://www.google.com/search?q=site:npr.org+Kenya+news+after:2015-04-06+before:2015-04-13
2015-04-06,Australia,Oceania,20326,https://www.google.com/search?q=site:apnews.com+Australia+news+after:2015-04-06+before:2015-04-13
2015-04-13,United States,North America,234949,https://www.google.com/search?q=site:bbc.com+United States+news+after:2015-04-13+before:2015-04-20
2015-04-13,Iraq,Asia,46449,https://www.google.com/search?q=site:dw.com+Iraq+news+after:2015-04-13+before:2015-04-20
2015-04-13,Australia,Oceania,27866,https://www.google.com/search?q=site:npr.org+Australia+news+after:2015-04-13+before:2015-04-20
2015-04-13,Yemen,Asia,22379,https://www.google.com/search?q=site:bbc.com+Yemen+news+after:2015-04-13+before:2015-04-20
2015-04-13,Ukraine,Europe,20884,https://www.google.com/search?q=site:npr.org+Ukraine+news+after:2015-04-13+before:2015-04-20
2015-04-20,United States,North America,239721,https://www.google.com/search?q=site:apnews.com+United States+news+after:2015-04-20+before:2015-04-27
2015-04-20,Australia,Oceania,30903,https://www.google.com/search?q=site:dw.com+Australia+news+after:2015-04-20+before:2015-04-27
2015-04-20,Syria,Asia,29570,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2015-04-20+before:2015-04-27
2015-04-20,Iraq,Asia,23811,https://www.google.com/search?q=site:apnews.com+Iraq+news+after:2015-04-20+before:2015-04-27
2015-04-20,Yemen,Asia,22519,https://www.google.com/search?q=site:pbs.org+Yemen+news+after:2015-04-20+before:2015-04-27
2015-04-27,United States,North America,291392,https://www.google.com/search?q=site:pbs.org+United States+news+after:2015-04-27+before:2015-05-04
2015-04-27,Australia,Oceania,36462,https://www.google.com/search?q=site:aljazeera.com+Australia+news+after:2015-04-27+before:2015-05-04
2015-04-27,Indonesia,Asia,33316,https://www.google.com/search?q=site:dw.com+Indonesia+news+after:2015-04-27+before:2015-05-04
2015-04-27,Syria,Asia,32022,https://www.google.com/search?q=site:aljazeera.com+Syria+news+after:2015-04-27+before:2015-05-04
2015-04-27,Nigeria,Africa,20807,https://www.google.com/search?q=site:bbc.com+Nigeria+news+after:2015-04-27+before:2015-05-04
2015-05-04,United States,North America,315083,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2015-05-04+before:2015-05-11
2015-05-04,Syria,Asia,30065,https://www.google.com/search?q=site:bbc.com+Syria+news+after:2015-05-04+before:2015-05-11
2015-05-04,United Kingdom,Europe,29550,https://www.google.com/search?q=site:dw.com+United Kingdom+news+after:2015-05-04+before:2015-05-11
2015-05-04,Australia,Oceania,21389,https://www.google.com/search?q=site:apnews.com+Australia+news+after:2015-05-04+before:2015-05-11
2015-05-04,Iraq,Asia,19200,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2015-05-04+before:2015-05-11
2015-05-11,United States,North America,275187,https://www.google.com/search?q=site:aljazeera.com+United States+news+after:2015-05-11+before:2015-05-18
2015-05-11,Syria,Asia,37424,https://www.google.com/search?q=site:reuters.com+Syria+news+after:2015-05-11+before:2015-05-18
2015-05-11,Iraq,Asia,33071,https://www.google.com/search?q=site:reuters.com+Iraq+news+after:2015-05-11+before:2015-05-18
